anio,mes,dia,dia_semana
2019,Mayo,2019-05-06,Lunes
2019,Mayo,2019-05-07,Martes
2019,Mayo,2019-05-08,Miercoles
2019,Mayo,2019-05-09,Jueves
2019,Mayo,2019-05-10,Viernes
2019,Mayo,2019-05-11,Sabado
2019,Mayo,2019-05-12,Domingo
2019,Mayo,2019-05-13,Lunes
2019,Mayo,2019-05-14,Martes
2019,Mayo,2019-05-15,Miercoles
2019,Mayo,2019-05-16,Jueves
2019,Mayo,2019-05-17,Viernes
2019,Mayo,2019-05-18,Sabado
2019,Mayo,2019-05-19,Domingo
2019,Mayo,2019-05-20,Lunes
2019,Mayo,2019-05-21,Martes
2019,Mayo,2019-05-22,Miercoles
2019,Mayo,2019-05-23,Jueves
2019,Mayo,2019-05-24,Viernes
2019,Mayo,2019-05-25,Sabado
2019,Mayo,2019-05-26,Domingo
2019,Mayo,2019-05-27,Lunes
2019,Mayo,2019-05-28,Martes
2019,Mayo,2019-05-29,Miercoles
2019,Mayo,2019-05-30,Jueves
2019,Mayo,2019-05-31,Viernes
2019,Junio,2019-06-01,Sabado
2019,Junio,2019-06-02,Domingo
2019,Junio,2019-06-03,Lunes
2019,Junio,2019-06-04,Martes
2019,Junio,2019-06-05,Miercoles
2019,Junio,2019-06-06,Jueves
2019,Junio,2019-06-07,Viernes
2019,Junio,2019-06-08,Sabado
2019,Junio,2019-06-09,Domingo
2019,Junio,2019-06-10,Lunes
2019,Junio,2019-06-11,Martes
2019,Junio,2019-06-12,Miercoles
2019,Junio,2019-06-13,Jueves
2019,Junio,2019-06-14,Viernes
2019,Junio,2019-06-15,Sabado
2019,Junio,2019-06-16,Domingo
2019,Junio,2019-06-17,Lunes
2019,Junio,2019-06-18,Martes
2019,Junio,2019-06-19,Miercoles
2019,Junio,2019-06-20,Jueves
2019,Junio,2019-06-21,Viernes
2019,Junio,2019-06-22,Sabado
2019,Junio,2019-06-23,Domingo
2019,Junio,2019-06-24,Lunes
2019,Junio,2019-06-25,Martes
2019,Junio,2019-06-26,Miercoles
2019,Junio,2019-06-27,Jueves
2019,Junio,2019-06-28,Viernes
2019,Junio,2019-06-29,Sabado
2019,Junio,2019-06-30,Domingo
2019,Julio,2019-07-01,Lunes
2019,Julio,2019-07-02,Martes
2019,Julio,2019-07-03,Miercoles
2019,Julio,2019-07-04,Jueves
2019,Julio,2019-07-05,Viernes
2019,Julio,2019-07-06,Sabado
2019,Julio,2019-07-07,Domingo
2019,Julio,2019-07-08,Lunes
